Time_Since_Run_subRespo_Window,Time_Since_Run_Photo_Prez,Time_Since_Run_Cue_Prez,trial_Corr,rt,What_Is_CorrResp,Subject_Respo,trial_n,block,sub,Cue_Type,Stim1,Stim2
13.499116675928235,8.590490126982331,11.04687214200385,1,9.835080112097785,1,1,0,005,001,CL,frac,circDi
23.75456280889921,21.48655961593613,16.98925680690445,0,7.223028037929907,1,0,1,005,001,Global_CF,circDi,frac
31.98931663786061,30.336844373028725,27.037852538982406,0,5.555886727990583,1,0,2,005,001,CF,circDi,frac
41.132284994004294,38.96965814102441,34.67810786701739,0,7.077899927971885,1,0,3,005,001,CF,circDi,frac
53.197926099877805,48.49626353988424,50.85182724799961,1,9.74005727795884,1,1,4,005,001,CL,frac,circDi
63.95354440994561,61.48594241589308,56.594586187042296,0,8.35246888292022,1,0,5,005,001,CF,circDi,frac
74.50339146796614,72.13670903188176,67.43815861805342,0,8.047646129969507,1,0,6,005,001,Global_CF,circDi,frac
85.53664245083928,82.97802529903129,77.88605098403059,1,8.571721553103998,1,1,7,005,001,CF,circDi,frac
95.27108555403538,92.69388256291859,94.74439013795927,1,6.973632086068392,1,1,8,005,001,Global_CL,frac,circDi
103.01327935396694,101.45288114692084,98.35206224396825,0,5.225853220093995,1,0,9,005,001,Global_CF,circDi,frac
110.56319514592178,108.90149970399216,105.6105653559789,0,5.88896116707474,1,0,10,005,001,Global_CF,circDi,frac
120.02925004786812,117.76801114203408,113.26708642090671,0,7.3782051471062005,1,0,11,005,001,Global_CF,circDi,frac
129.79628849495202,117.76801114203408,128.04547511204146,1,7.050114386016503,1,1,12,005,001,CL,circDi,frac
138.75181021587923,136.69415934593417,132.59321936499327,0,6.6418031270150095,1,0,13,005,001,CF,frac,circDi
149.112260150956,145.2109176570084,147.1610653088428,0,7.972903497051448,1,0,14,005,001,CL,frac,circDi
158.85520989098586,156.07635744987056,158.3274993968662,1,7.350372794084251,1,1,15,005,001,Global_CL,frac,circDi
167.07142720301636,164.89457670086995,166.54386558500119,0,5.982254819944501,1,0,16,005,001,Global_CL,frac,circDi
174.71769808186218,173.059972404968,169.75182332796976,0,5.861238013021648,1,0,17,005,001,CF,frac,circDi
182.03572842595167,180.48427264904603,177.39756439300254,0,5.4651357440743595,1,0,18,005,001,CF,frac,circDi
192.7051485539414,188.3928014789708,190.5493625230156,1,8.64763214904815,1,1,19,005,001,CL,frac,circDi
205.57093742489815,200.45891554583795,203.01571339997463,0,10.376289492007345,1,0,20,005,001,Global_CL,circDi,frac
215.63313367404044,212.1261225680355,213.87494605896063,0,7.1069994629360735,1,0,21,005,001,Global_CL,circDi,frac
226.0610879228916,223.50927767599933,218.4129423010163,0,8.61826512007974,1,0,22,005,001,Global_CF,circDi,frac
239.3161839710083,234.20816169888712,236.7595755099319,0,10.379039137158543,1,0,23,005,001,Global_CL,circDi,frac
248.1341079750564,246.38178352592513,242.89017795491964,0,5.84652078198269,1,0,24,005,001,CF,frac,circDi
260.17643273901194,246.38178352592513,257.7252039620653,0,10.468287208117545,1,0,25,005,001,CL,circDi,frac
269.20291504706256,266.8244777149521,268.67496610386297,1,6.296757816104218,1,1,26,005,001,Global_CL,frac,circDi
277.7600762108341,274.6579189088661,276.20748883485794,1,6.089988062158227,1,1,27,005,001,CL,frac,circDi
286.1861402459908,284.2321191939991,280.3464858380612,1,6.369723611976951,1,1,28,005,001,Global_CF,frac,circDi
296.4499812880531,284.2321191939991,294.496878126869,1,7.724125258857384,1,1,29,005,001,CL,circDi,frac
305.8829174048733,303.73147889086977,299.43096920102835,0,7.105136109981686,1,0,30,005,001,Global_CF,circDi,frac
318.3309941929765,313.4229630730115,315.8738537200261,0,9.85367441503331,1,0,31,005,001,Global_CL,circDi,frac
